scorer,,,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,,,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,orange01-train-2022-05-10-18.15.05,img0000.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,181.3101864022375,160.46525588532847,181.7145195079429,178.60851974748527,181.3587716378605,193.47391492181106,180.83786550796214,212.5769527789464,180.32784773931297,225.9963250723785
labeled-data,orange01-train-2022-05-10-18.15.05,img0052.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,181.3101864022375,160.46525588532847,181.7145195079429,178.60851974748527,181.3587716378605,193.47391492181106,180.83786550796214,212.5769527789464,180.32784773931297,225.9963250723785
labeled-data,orange01-train-2022-05-10-18.15.05,img1000.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,181.3101864022375,160.46525588532847,180.68651532970011,178.60851974748527,179.302763281375,193.98791701093245,177.75385297323385,213.09095486806774,177.24383520458474,226.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1300.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,181.3101864022375,160.46525588532847,180.68651532970011,178.60851974748527,178.78876119225362,193.98791701093245,177.2398508841125,213.09095486806774,176.21583102634196,226.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1600.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,180.2405866792103,160.46525588532847,179.0821157451594,178.07371988597168,177.1843616077129,193.98791701093245,175.10065143805815,213.09095486806774,174.0766315802877,226.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1850.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,181.27254091790047,142.40605670825028,180.2405866792103,160.46525588532847,179.0821157451594,178.07371988597168,177.1843616077129,193.98791701093245,175.10065143805815,213.09095486806774,174.0766315802877,226.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img2226.png,181.305454,51.780913999999996,181.305454,65.0283,182.30052796613091,77.90891679011406,182.30052796613097,91.84029901243147,182.30052796613091,107.31961259278418,181.78455084678592,124.8628346505173,180.75259660809564,142.40605670825028,179.72064236940548,160.46525588532847,178.04222712554974,178.07371988597168,175.6245286782983,193.98791701093245,171.980985579229,213.61089917787257,169.91707710184875,226.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img2400.png,181.305454,51.780913999999996,181.305454,65.0283,182.35421980533783,77.50267608423138,182.87218527581717,91.48774378717431,182.3878942901132,107.54467337203471,181.808452502676,124.62672121585291,180.32111418219654,142.68187888015217,178.2741825019251,160.17534436136657,175.73253332271935,176.93661660721818,172.40499682271837,192.53120538935428,167.76031239113723,213.45078987654034,165.3545591435962,225.2782720325519
labeled-data,orange01-train-2022-05-10-18.15.05,img3000.png,181.305454,51.780913999999996,181.305454,65.0283,182.42726654289345,77.30078200812633,183.05278736462907,91.49054803642701,182.44621970145624,107.65000880596668,181.15285426467722,124.93631598168525,178.54326935508573,143.72287682307177,175.56108595436166,160.1784143850162,171.10958913388095,177.32861403286097,167.0215982675033,193.28739590824966,160.70455652750235,212.721020274389,157.5403240135471,224.64408607580003
labeled-data,orange01-train-2022-05-10-18.15.05,img3100.png,181.305454,51.780913999999996,181.305454,65.0283,182.23761633596087,76.8076965358108,182.71299399063963,90.98583508660408,182.33863408758015,107.83203072428171,181.3165721300208,125.35265471700433,178.23713683735565,143.52919802101042,175.40109143961246,160.07306386313286,170.75724597546946,177.4986260174502,166.62740260044797,192.23236220214926,160.3345908966382,212.74787911187838,157.0396295276464,224.2876716792046
labeled-data,orange01-train-2022-05-10-18.15.05,img3500.png,181.305454,51.780913999999996,181.305454,65.0283,182.22483313371555,79.09271807743781,182.51600194720618,93.6778987450497,181.55336219648183,109.51688797687677,178.91798732335656,128.66569412940459,175.16844607207804,146.4715584074649,170.07578467971166,162.01861719408652,164.22584668344194,177.86431027831185,156.52472867764646,192.30390653917834,146.90724450142727,210.5762351408922,141.61272587244292,220.23828597223746
labeled-data,orange01-train-2022-05-10-18.15.05,img3600.png,181.305454,51.780913999999996,181.305454,65.0283,182.22483313371555,79.09271807743781,182.51600194720618,93.6778987450497,181.55336219648183,109.51688797687677,178.91798732335656,128.66569412940459,175.16844607207804,146.4715584074649,170.07578467971166,162.01861719408652,164.22584668344194,177.86431027831185,156.52472867764646,192.30390653917834,146.90724450142727,210.5762351408922,141.61272587244292,220.23828597223746
labeled-data,orange01-train-2022-05-10-18.15.05,img3755.png,181.305454,51.780913999999996,181.305454,65.0283,182.3234598224442,79.53084221746013,182.36035799378044,94.90436992943731,182.06246237549726,110.78792581639053,179.06007176211943,129.21463647614485,175.6908326345839,146.77372032922,169.9149941302373,162.67545941146471,163.65783575052842,177.8279438877289,156.4380376200952,192.74886002395766,144.88636061140193,210.55769541235975,139.11052210705532,218.74013329351743
labeled-data,orange01-train-2022-05-10-18.15.05,img3760.png,181.305454,51.780913999999996,181.305454,65.0283,181.3846462101709,79.45097456244517,180.93006632788428,94.45211067790098,177.7480071518786,111.27156632250293,174.5659479758728,127.63644208481838,167.7472497415747,144.0013178471338,160.4739716249901,159.00245396258958,151.38237397925928,173.0944303134723,142.29077633352847,185.8226670174954,125.7575611070751,202.54108731905757,118.65262245462844,209.91540077868206
labeled-data,orange01-train-2022-05-10-18.15.05,img3780.png,181.305454,51.780913999999996,181.305454,65.0283,183.65614771418774,78.82347605826916,182.74104572893117,94.42180535241513,181.40404607514728,109.41438467008672,176.94738056253408,126.5097970432297,170.70804884487575,145.2277921962048,162.24038437091076,161.27178804161213,152.43572024316188,174.6417845794515,141.294056461629,186.22911491224568,124.80439406496043,200.4904445526077,117.22806269351815,206.7297762702661
labeled-data,orange01-train-2022-05-10-18.15.05,img3800.png,181.305454,51.780913999999996,181.305454,65.0283,183.2255684612419,79.7791634107939,182.7531619169049,95.82018814585942,180.90513128434128,110.95799533703536,176.1810658409713,127.4922243888301,168.15015458724247,145.44367307363575,159.64683678917663,161.0330890367565,148.78148626942584,173.78806573385532,137.916135749675,183.23619662059514,121.36110892548805,196.44278208963868,110.98896272246643,204.0220845714228
labeled-data,orange01-train-2022-05-10-18.15.05,img3850.png,181.305454,51.780913999999996,181.305454,65.0283,182.47157306735716,79.38794982762036,183.2373248202108,94.255450795423,181.5768666503954,111.2672435898013,175.6380095884715,127.50819225080465,167.09817893326357,144.21091505903757,156.76215307616548,159.3040810844832,144.3547962890505,170.4279182039656,131.55353387074342,178.9847159881828,113.1224843766577,189.23590620023407,102.46042140440491,194.36998487076448
labeled-data,orange01-train-2022-05-10-18.15.05,img3860.png,181.305454,51.780913999999996,181.305454,65.0283,182.4552041162832,79.8573036127818,182.45817522662492,94.1542865772447,180.88051563515984,110.78359115997515,174.91136357120183,127.92506334920444,166.2002594366122,144.65722016617673,154.42872026263012,159.27211193720603,141.953027937655,170.3573246222458,127.64118942148343,178.48628251725216,110.1680895016982,187.4709201906802,100.32777204984842,191.74931908278882
labeled-data,orange01-train-2022-05-10-18.15.05,img3880.png,181.305454,51.780913999999996,181.305454,65.0283,183.43070877478738,80.33161166773749,182.93750445805824,94.5483746529734,180.57844284671495,111.13905480126121,174.83528655612753,127.88423268731964,165.6209954232794,144.40723094202252,154.09605840766176,159.35191596098525,141.32325504851258,169.8904443431444,126.80046769807723,177.9213555968733,108.6469835100331,186.02060238846224,98.87203048570163,190.20986797031856
labeled-data,orange01-train-2022-05-10-18.15.05,img3890.png,181.305454,51.780913999999996,181.305454,65.0283,183.121874798985,80.68427018879316,183.2420719349331,96.3142908830689,179.6652657788295,112.19482687297523,173.4605028735328,128.5368488413746,164.3981312416003,145.57974348744256,150.80979468367173,159.21520711548504,136.43290619247205,169.38623544883995,124.280292290744,175.68834678567634,107.06572775739545,182.19937787335903,96.31506724161568,186.0682948698775
labeled-data,orange01-train-2022-05-10-18.15.05,img3900.png,181.305454,51.780913999999996,181.305454,65.0283,183.121874798985,80.68427018879316,183.2420719349331,96.3142908830689,179.6652657788295,112.19482687297523,173.4605028735328,128.5368488413746,164.3981312416003,145.57974348744256,150.80979468367173,159.21520711548504,136.43290619247205,169.38623544883995,124.280292290744,175.68834678567634,107.06572775739545,182.19937787335903,96.31506724161568,186.0682948698775
labeled-data,orange01-train-2022-05-10-18.15.05,img3950.png,181.305454,51.780913999999996,181.305454,65.0283,183.63255905823428,80.09169817332833,182.94307560122644,95.72939852707992,179.84813842673674,111.18738518692518,173.95289564941032,127.1430609305483,163.56705727674006,143.81796025488643,151.60861981937978,155.81310508761027,135.79721004768487,165.01160064679226,120.39259124292198,170.50490710431097,100.90028510164205,176.63577047685322,91.31277844263889,179.63894283342006
labeled-data,orange01-train-2022-05-10-18.15.05,img3970.png,181.305454,51.780913999999996,181.305454,65.0283,183.96728027739834,79.04067370236734,182.84980529148208,94.08161735048171,179.77118284864207,110.47921391625164,172.61304322816187,127.61836152073306,161.2295589901596,144.1737801564825,148.97336279193365,156.81533889364033,133.43054979881032,165.29353215411538,118.77461041011094,169.64769152735255,99.86222079203074,174.3613552519405,89.57786357474785,176.71818711423447
labeled-data,orange01-train-2022-05-10-18.15.05,img3990.png,181.305454,51.780913999999996,181.305454,65.0283,183.9518611836537,78.90452732051799,183.20840502781363,93.96506672423325,180.19824850994792,110.80317359567212,172.40036800649312,127.60494857260557,160.79495337196823,144.09152097058643,148.44612204066738,156.1508252414655,133.30196980570247,164.01042049169246,119.26578489948366,168.29925476859262,100.60308283077683,172.28673805441042,89.12051546763831,173.91523996912332
labeled-data,orange01-train-2022-05-10-18.15.05,img4000.png,181.305454,51.780913999999996,181.305454,65.0283,183.9518611836537,78.90452732051799,183.20840502781363,93.96506672423325,180.19824850994792,110.80317359567212,172.40036800649312,127.60494857260557,160.79495337196823,144.09152097058643,148.89773081261217,156.60243401341035,133.30196980570247,164.01042049169246,119.26578489948366,168.29925476859262,101.05469160272168,172.73834682635527,90.0237330115279,174.81845751301296
labeled-data,orange01-train-2022-05-10-18.15.05,img4100.png,181.305454,51.780913999999996,181.305454,65.0283,183.41817304038625,79.94887238730911,182.63997603344433,94.34551701573474,179.3054863970155,111.01796519787877,171.35611943278633,127.41888981076664,159.29406582518646,142.98282994960516,143.34102718287693,155.43398206067593,129.3334810579223,161.2704596127404,114.93683642949668,163.60505063356618,95.09281275247753,165.550543150921,84.97625166223253,165.93964165439195
labeled-data,orange01-train-2022-05-10-18.15.05,img4200.png,181.305454,51.780913999999996,181.305454,65.0283,183.3370966481998,78.95014790743596,182.68524642657155,94.10745657747671,179.55319280907895,109.61154446750089,171.84262392386074,126.36214542556377,156.7925397358855,142.89170921571127,141.98903548160575,153.29417166466465,125.58515238902544,158.49540288914125,113.58231110177161,160.29582908222937,92.92596394562122,161.04454888834846,82.20061120663959,161.21886143662033
